Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
DOA: Dead or Alive,480314,2670860,1370874.0,30000000.0,15-Jun-07,PG-13,NA,Weinstein/Dimension,Based on Game,Action,Fantasy,Corey Yuen,34.0,4.9,16646.0
Doogal,7578946,26942802,NA,20000000.0,NA,G,NA,Weinstein Co.,Based on TV,Adventure,Kids Fiction,NA,NA,2.5,2709.0
Dogma,30651422,43948865,NA,10000000.0,12-Nov-99,R,135.0,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,68.0,7.3,100476.0
Domestic Disturbance,45207112,45207112,NA,53000000.0,02-Nov-01,PG-13,89.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Harold Becker,24.0,5.3,10778.0
Domino,10169202,17759202,15573570.0,50000000.0,14-Oct-05,R,133.0,New Line,Based on Real Life Events,Action,Dramatization,Tony Scott,19.0,5.9,32560.0
Donnie Brasco,41954997,55954997,NA,35000000.0,28-Feb-97,R,121.0,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Mike Newell,87.0,7.7,65462.0
Doom,28212337,54612337,28563264.0,70000000.0,21-Oct-05,R,NA,Universal,Based on Game,Horror,Science Fiction,Andrzej Bartkowiak,19.0,5.2,39473.0
Doubt,33422556,50923043,12876746.0,20000000.0,12-Dec-08,PG-13,NA,Miramax,Based on Play,Drama,Historical Fiction,NA,78.0,NA,NA
Doug's 1st Movie,19421271,19421271,NA,5000000.0,26-Mar-99,G,77.0,Walt Disney Pictures,Based on TV,Adventure,Kids Fiction,NA,NA,4.8,920.0
Downfall,5501940,92101940,NA,13500000.0,18-Feb-05,R,NA,Newmarket Films,Based on Real Life Events,Drama,Dramatization,NA,NA,6.1,404.0
The Deep End,8823109,8823109,NA,3000000.0,08-Aug-01,R,NA,Fox Searchlight,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,NA,81.0,6.6,6734.0
Deep Impact,140464664,349464664,NA,80000000.0,08-May-98,PG-13,120.0,Paramount Pictures,Original Screenplay,Adventure,Science Fiction,Mimi Leder,47.0,6.0,54160.0
The Departed,133311000,290539042,140689412.0,90000000.0,06-Oct-06,R,152.0,Warner Bros.,Remake,Drama,Contemporary Fiction,Martin Scorsese,93.0,8.5,264148.0
Dracula 2000,33000377,33000377,NA,28000000.0,22-Dec-00,R,99.0,Miramax,Original Screenplay,Horror,Contemporary Fiction,NA,15.0,4.8,14077.0
Death Race,36316032,72516819,24667330.0,65000000.0,22-Aug-08,R,105.0,Universal,Remake,Action,Science Fiction,Paul Anderson,41.0,6.6,40611.0
Drag Me To Hell,42100625,85724728,13123388.0,30000000.0,29-May-09,PG-13,99.0,Universal,Original Screenplay,Horror,Fantasy,Sam Raimi,92.0,7.1,51343.0
"Crouching Tiger, Hidden Dragon",128067808,213200000,NA,15000000.0,08-Dec-00,PG-13,120.0,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,NA,NA,NA
Derailed,36020063,54962616,27718572.0,22000000.0,11-Nov-05,R,NA,Weinstein Co.,Based on Book/Short Story,Action,Contemporary Fiction,NA,20.0,3.4,3317.0
Doctor Dolittle 2,112950721,176101721,NA,72000000.0,22-Jun-01,PG,87.0,20th Century Fox,Remake,Comedy,Kids Fiction,Steve Carr,NA,6.0,2993.0
Doctor Dolittle,144156605,294156605,NA,71500000.0,26-Jun-98,PG-13,85.0,20th Century Fox,Remake,Comedy,Kids Fiction,Betty Thomas,NA,5.2,25648.0
Dickie Roberts: Former Child Star,22734486,23734486,NA,17000000.0,05-Sep-03,PG-13,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,5.5,6949.0
Drillbit Taylor,32862104,49686263,12040874.0,40000000.0,21-Mar-08,PG-13,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,26.0,5.9,19388.0
Driving Lessons,239962,239962,NA,4700000.0,13-Oct-06,PG-13,98.0,Sony Pictures Classics,NA,NA,NA,NA,48.0,6.7,5380.0
Driven,32616869,54616869,NA,72000000.0,27-Apr-01,PG-13,117.0,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,13.0,4.2,18795.0
Darkness,22163442,34409206,NA,10600000.0,25-Dec-04,PG-13,NA,Miramax/Dimension,Original Screenplay,Horror,Contemporary Fiction,NA,4.0,5.3,9979.0
I Dreamed of Africa,6543194,6543194,NA,34000000.0,05-May-00,PG-13,NA,Sony Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Hugh Hudson,9.0,5.2,2298.0
Dreamcatcher,33685268,75685268,NA,68000000.0,21-Mar-03,R,136.0,Warner Bros.,Based on Book/Short Story,Drama,Science Fiction,Lawrence Kasdan,30.0,5.3,34141.0
Dreamgirls,103365956,154965956,53674555.0,75000000.0,15-Dec-06,PG-13,130.0,Paramount Pictures,Based on Musical/Opera,Musical,Historical Fiction,Bill Condon,78.0,6.6,28016.0
Detroit Rock City,4217115,4217115,NA,16000000.0,13-Aug-99,R,NA,New Line,Original Screenplay,Comedy,Historical Fiction,NA,47.0,6.4,15092.0
Drop Dead Gorgeous,10571408,10571408,NA,10000000.0,23-Jul-99,PG-13,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,NA,45.0,6.2,16344.0
Drumline,56398162,56398162,NA,20000000.0,13-Dec-02,PG-13,118.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,81.0,5.2,18165.0
The Legend of Drunken Master,11546543,11546543,NA,2000000.0,20-Oct-00,R,NA,Miramax,Original Screenplay,Action,Contemporary Fiction,NA,NA,NA,NA
Dinner Rush,638227,1075504,NA,2000000.0,28-Sep-01,R,NA,Access Motion Picture Group,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.2,2991.0
The Descent,26024456,57029609,22484444.0,7000000.0,04-Aug-06,R,99.0,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,7.4,58176.0
DysFunkTional Family,2255000,2255000,NA,3000000.0,04-Apr-03,R,NA,Miramax,Original Screenplay,Concert/Performance,Factual,NA,43.0,5.9,501.0
The Master of Disguise,40363530,40363530,NA,16000000.0,02-Aug-02,PG,80.0,Sony Pictures,Original Screenplay,Comedy,Kids Fiction,NA,2.0,3.0,10050.0
Desert Blue,99147,99147,NA,5000000.0,04-Jun-99,R,NA,Goldwyn Entertainment,NA,NA,NA,NA,NA,6.0,1412.0
Disturbia,80209692,117573043,34508128.0,20000000.0,13-Apr-07,PG-13,104.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,68.0,7.0,72231.0
Double Take,29823162,29823162,NA,24000000.0,12-Jan-01,PG-13,88.0,Walt Disney Pictures,Remake,Action,Contemporary Fiction,NA,12.0,6.8,162.0
Death at a Funeral,8580428,34743644,NA,20000000.0,17-Aug-07,R,90.0,MGM,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,61.0,5.1,6628.0
Deterrence,144583,371647,NA,800000.0,10-Mar-00,R,NA,NA,NA,Thriller/Suspense,NA,NA,45.0,6.3,1776.0
Dirty Pretty Things,8112414,13904766,NA,10000000.0,18-Jul-03,R,NA,Miramax,Original Screenplay,Drama,Contemporary Fiction,Stephen Frears,NA,7.5,18554.0
Dudley Do-Right,9818792,9818792,NA,22000000.0,27-Aug-99,PG,NA,Universal,Based on TV,Comedy,Kids Fiction,Hugh Wilson,14.0,3.6,4628.0
Duets,4734235,4734235,NA,16000000.0,15-Sep-00,R,NA,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,21.0,5.7,5340.0
The Dukes of Hazzard,80270227,110570227,NA,53000000.0,05-Aug-05,PG-13,105.0,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,Jay Chandrasekhar,13.0,4.7,27016.0
Duma,870067,994790,NA,12000000.0,30-Sep-05,PG,NA,Warner Bros.,Based on Book/Short Story,Adventure,NA,NA,93.0,7.2,2966.0
Dumb and Dumberer: When Harry Met Lloyd,26214846,26214846,NA,30000000.0,13-Jun-03,PG-13,85.0,New Line,Original Screenplay,Comedy,Contemporary Fiction,NA,10.0,3.3,14813.0
Dungeons & Dragons 2: The Elemental Might,0,909822,NA,15000000.0,08-Oct-05,NA,NA,Warner Bros.,Based on Game,NA,Fantasy,NA,NA,NA,NA
Dungeons and Dragons,15185241,33771965,NA,35000000.0,08-Dec-00,PG-13,NA,New Line,Based on Game,Adventure,Fantasy,NA,NA,3.6,16954.0
Duplex,9652000,10070651,NA,40000000.0,26-Sep-03,PG-13,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Danny De Vito,NA,5.7,19238.0
"You, Me and Dupree",75802010,130402010,41651251.0,54000000.0,14-Jul-06,PG-13,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,NA,21.0,6.1,164.0
Devil's Advocate,61007424,153007424,NA,57000000.0,17-Oct-97,R,144.0,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Taylor Hackford,NA,NA,NA
The Da Vinci Code,217536138,757236138,100178981.0,125000000.0,19-May-06,PG-13,NA,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Ron Howard,25.0,6.4,116903.0
D-War,10977721,79915361,7614486.0,32000000.0,14-Sep-07,PG-13,90.0,Freestyle Releasing,Traditional/Legend/Fairytale,Action,Fantasy,NA,NA,3.8,14081.0
Deuces Wild,6044618,6044618,NA,10000000.0,03-May-02,R,NA,MGM,Original Screenplay,Drama,Historical Fiction,NA,3.0,5.3,4010.0
Down to Earth,64172251,71172251,NA,30000000.0,16-Feb-01,PG-13,87.0,Paramount Pictures,Remake,Comedy,Fantasy,Paul Weitz,19.0,5.0,9193.0
Down to You,20035310,20035310,NA,9000000.0,21-Jan-00,PG-13,92.0,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,3.0,4.4,7095.0
I'm Not There,4017609,11498547,6017494.0,20000000.0,21-Nov-07,R,NA,Weinstein Co.,Based on Real Life Events,Drama,Dramatization,Todd Haynes,76.0,7.1,23078.0
Easy A,21056221,22156221,NA,8000000.0,17-Sep-10,PG-13,NA,Sony/Screen Gems,Based on Book/Short Story,Comedy,Contemporary Fiction,NA,80.0,7.7,483.0
The Eclipse,133411,133411,NA,3000000.0,26-Feb-10,R,NA,Magnolia Pictures,NA,NA,NA,NA,NA,6.2,790.0
Edge of Darkness,43313890,78739628,12665512.0,60000000.0,29-Jan-10,R,NA,Warner Bros.,Based on TV,Drama,Contemporary Fiction,Martin Campbell,55.0,6.7,24174.0
EDtv,22508689,35319689,NA,60000000.0,26-Mar-99,PG-13,122.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ron Howard,62.0,6.0,21734.0
An Education,12574914,14134502,1765115.0,7500000.0,09-Oct-09,PG-13,NA,Sony Pictures Classics,Based on Factual Book/Article,Drama,Dramatization,NA,94.0,7.5,22855.0
East is East,4170647,4170647,NA,3000000.0,14-Apr-00,R,NA,Miramax,Based on Play,Comedy,Contemporary Fiction,NA,NA,6.7,8351.0
8 Heads in a Duffel Bag,3602884,4002884,NA,3000000.0,18-Apr-97,R,NA,Orion Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,NA,11.0,4.8,5127.0
Eagle Eye,101440743,178066569,38374936.0,80000000.0,26-Sep-08,PG-13,117.0,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,27.0,6.6,52336.0
8MM,36443442,96398826,NA,40000000.0,26-Feb-99,R,119.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joel Schumacher,22.0,6.3,47753.0
Iris,5580479,15035827,NA,5500000.0,14-Dec-01,R,NA,Miramax,Based on Book/Short Story,Drama,Dramatization,NA,79.0,5.8,44.0
Election,14943582,14943582,NA,8500000.0,23-Apr-99,R,103.0,Paramount Pictures,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Alexander Payne,92.0,7.4,37454.0
Elektra,24409722,56409722,NA,65000000.0,14-Jan-05,PG-13,NA,20th Century Fox,Spin-Off,Action,Super Hero,NA,10.0,4.9,27283.0
Elf,173398518,220443451,NA,32000000.0,07-Nov-03,PG,95.0,New Line,Original Screenplay,Comedy,Kids Fiction,Jon Favreau,84.0,6.8,42123.0
Elizabeth,30082699,82150642,NA,25000000.0,06-Nov-98,R,124.0,Gramercy,Based on Real Life Events,Drama,Dramatization,Shekhar Kapur,81.0,7.6,33773.0
Ella Enchanted,22913677,22913677,NA,35000000.0,09-Apr-04,PG,96.0,Miramax,Based on Book/Short Story,Comedy,Fantasy,NA,49.0,6.3,12020.0
Once Upon a Time in Mexico,56330657,98156459,NA,29000000.0,12-Sep-03,R,102.0,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Robert Rodriguez,68.0,6.2,54413.0
The Adventures of Elmo in Grouchland,11634458,11634458,NA,17000000.0,01-Oct-99,G,NA,Sony Pictures,Based on TV,Comedy,Kids Fiction,NA,76.0,5.4,1059.0
The Emperor's Club,14060950,16124074,NA,12500000.0,22-Nov-02,PG-13,NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,NA,50.0,6.7,8165.0
Empire,17504595,18495444,NA,3500000.0,06-Dec-02,R,NA,Universal,Original Screenplay,Drama,Contemporary Fiction,NA,21.0,6.5,63.0
La marche de l'empereur,77437223,129437223,NA,3400000.0,24-Jun-05,G,80.0,Warner Independent,Based on Real Life Events,Documentary,Factual,NA,NA,7.8,23674.0
Employee of the Month,28444855,38117718,21177885.0,10000000.0,06-Oct-06,PG-13,103.0,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,NA,20.0,5.4,17845.0
The Emperor's New Groove,89296573,169296573,NA,100000000.0,15-Dec-00,G,78.0,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,85.0,7.4,23355.0
Enchanted,127706877,340384141,87698079.0,85000000.0,21-Nov-07,PG,108.0,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Fantasy,Kevin Lima,92.0,7.5,55697.0
The End of the Affair,10660147,10660147,NA,23000000.0,03-Dec-99,R,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Neil Jordan,67.0,6.9,9969.0
End of Days,66889043,212026975,NA,100000000.0,24-Nov-99,R,120.0,Universal,Original Screenplay,Action,Fantasy,Peter Hyams,11.0,5.4,43513.0
End of the Spear,11748661,11748661,NA,10000000.0,20-Jan-06,PG-13,NA,M Power Releasing,Original Screenplay,Drama,Historical Fiction,NA,NA,6.7,2884.0
Enemy at the Gates,51396781,96971293,NA,85000000.0,16-Mar-01,R,131.0,Paramount Pictures,Based on Real Life Events,Drama,Historical Fiction,Jean-Jacques Annaud,53.0,7.4,59916.0
Enemy of the State,111549836,250649836,NA,85000000.0,20-Nov-98,R,127.0,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,70.0,7.2,66700.0
Entrapment,87707396,211700000,NA,66000000.0,30-Apr-99,PG-13,112.0,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,38.0,6.1,40764.0
Enough,39177215,39177215,NA,38000000.0,24-May-02,PG-13,115.0,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Apted,21.0,6.5,92.0
Envy,13548322,14566246,NA,20000000.0,30-Apr-04,PG-13,NA,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,7.0,4.6,15655.0
Epic Movie,39739367,86858578,16839362.0,20000000.0,26-Jan-07,PG-13,86.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2.0,2.2,48975.0
Eragon,75030163,249488115,87700229.0,100000000.0,15-Dec-06,PG,102.0,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,NA,16.0,5.0,43555.0
Erin Brockovich,125548685,258400000,NA,50000000.0,17-Mar-00,R,133.0,Universal,Based on Real Life Events,Drama,Dramatization,Steven Soderbergh,83.0,7.2,54977.0
Elizabethtown,26850426,50719373,15854391.0,54000000.0,14-Oct-05,PG-13,133.0,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Cameron Crowe,28.0,6.4,31775.0
Eat Pray Love,78146373,81846373,NA,60000000.0,13-Aug-10,R,143.0,Sony Pictures,Based on Magazine Article,Drama,Contemporary Fiction,NA,37.0,4.7,3019.0
Eternal Sunshine of the Spotless Mind,34366518,47066518,NA,20000000.0,19-Mar-04,R,108.0,Focus Features,Based on Book/Short Story,Comedy,Fantasy,Michel Gondry,93.0,8.5,219986.0
Eulogy,70527,70527,NA,10000000.0,15-Oct-04,R,NA,Artisan,Original Screenplay,Comedy,NA,NA,32.0,6.6,5205.0
Eureka,49388,76654,NA,2000000.0,04-May-01,Not Rated,NA,NA,NA,Drama,NA,NA,NA,7.9,1391.0
Eurotrip,17718223,20718223,NA,25000000.0,20-Feb-04,R,NA,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,NA,46.0,6.5,52548.0
Eve's Bayou,14843425,14843425,NA,5000000.0,07-Nov-97,R,109.0,Trimark,Original Screenplay,Drama,Historical Fiction,Kasi Lemmons,80.0,7.0,4509.0
Event Horizon,26673242,26673242,NA,60000000.0,15-Aug-97,R,95.0,Paramount Pictures,Original Screenplay,Horror,Science Fiction,Paul Anderson,21.0,6.3,44671.0
Ever After: A Cinderella Story,65705772,65705772,NA,26000000.0,31-Jul-98,PG,122.0,20th Century Fox,Traditional/Legend/Fairytale,Drama,Historical Fiction,Andy Tennant,NA,NA,NA
Evita,50047179,151947179,NA,55000000.0,25-Dec-96,PG,134.0,Walt Disney Pictures,Based on Musical/Opera,Musical,Dramatization,Alan Parker,61.0,6.1,16769.0
Evolution,38311134,98341932,NA,80000000.0,08-Jun-01,PG-13,102.0,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,42.0,5.9,39590.0
An Everlasting Piece,75078,75078,NA,4000000.0,25-Dec-00,R,NA,Dreamworks SKG,NA,NA,NA,Barry Levinson,49.0,6.0,1097.0
Fong juk,51957,51957,NA,4500000.0,31-Aug-07,Not Rated,100.0,Magnolia Pictures,Original Screenplay,Action,Historical Fiction,NA,NA,7.3,3699.0
Exit Wounds,51758599,79958599,NA,33000000.0,16-Mar-01,R,100.0,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,Andrzej Bartkowiak,33.0,5.2,14528.0
The Exorcism of Emily Rose,75072454,144216468,NA,18000000.0,09-Sep-05,PG-13,114.0,Sony/Screen Gems,Based on Real Life Events,Thriller/Suspense,Dramatization,Scott Derrickson,45.0,6.8,32425.0
Exorcist: The Beginning,41814863,43957541,NA,78000000.0,20-Aug-04,R,114.0,Warner Bros.,Based on Book/Short Story,Horror,Historical Fiction,Renny Harlin,NA,5.0,15901.0
The Express,9793406,9808102,6580715.0,37500000.0,04-Oct-08,PG,129.0,Universal,Based on Book/Short Story,Drama,Dramatization,NA,61.0,7.1,4749.0
eXistenZ,2840417,2840417,NA,20700000.0,23-Apr-99,R,NA,Miramax,Original Screenplay,Thriller/Suspense,Science Fiction,David Cronenberg,71.0,6.8,35788.0
Extract,10823158,10849158,NA,7500000.0,04-Sep-09,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Mike Judge,62.0,6.4,12371.0
Extreme Ops,4835968,12624471,NA,40000000.0,27-Nov-02,PG-13,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Christian Duguay,6.0,4.1,3195.0
Eyes Wide Shut,55691208,86257553,NA,65000000.0,16-Jul-99,R,159.0,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Stanley Kubrick,78.0,7.2,93880.0
The Faculty,40283321,40283321,NA,15000000.0,25-Dec-98,R,102.0,Miramax,Original Screenplay,Horror,Contemporary Fiction,Robert Rodriguez,51.0,6.3,36139.0
Failure to Launch,88715192,128402901,41348843.0,50000000.0,10-Mar-06,PG-13,NA,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Tom Dey,25.0,5.6,20324.0
Keeping the Faith,37036404,45336404,NA,29000000.0,14-Apr-00,PG-13,129.0,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,NA,68.0,6.5,25485.0
Fame,22455510,77956957,4950732.0,18000000.0,25-Sep-09,PG,NA,MGM,Remake,Musical,Contemporary Fiction,NA,25.0,4.5,4973.0
The Family Stone,60062868,91762868,23961409.0,18000000.0,16-Dec-05,PG-13,103.0,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,52.0,6.3,24434.0
Lisa Picard is Famous,113433,113433,NA,1000000.0,22-Aug-01,PG-13,NA,NA,NA,Comedy,NA,Griffin Dunne,NA,NA,NA
Fantasia 2000 (Theatrical Release),9103630,9103630,NA,80000000.0,16-Jun-00,G,NA,Walt Disney Pictures,Compilation,Musical,Fantasy,NA,NA,NA,NA
Far From Heaven,15901849,29027914,NA,13500000.0,08-Nov-02,PG-13,NA,Focus Features,Original Screenplay,Drama,Historical Fiction,Todd Haynes,89.0,7.5,20239.0
Fascination,16670,83356,NA,5000000.0,28-Jan-05,R,NA,MGM,Original Screenplay,Thriller/Suspense,NA,NA,NA,2.5,1016.0
Father's Day,28681080,35681080,NA,85000000.0,09-May-97,PG-13,98.0,Warner Bros.,Remake,Comedy,Contemporary Fiction,Ivan Reitman,NA,4.8,6654.0
Facing the Giants,10178331,10178331,20091582.0,100000.0,29-Sep-06,PG,NA,IDP/Goldwyn/Roadside,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,9.0,6.0,4901.0
Face/Off,112276146,241200000,NA,80000000.0,27-Jun-97,R,138.0,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Woo,93.0,7.3,102001.0
Final Destination 2,46896664,89626226,NA,26000000.0,31-Jan-03,R,90.0,New Line,Original Screenplay,Horror,Fantasy,David R. Ellis,47.0,6.4,35737.0
Final Destination 3,54098051,112798051,18646884.0,25000000.0,10-Feb-06,R,NA,New Line,Original Screenplay,Horror,Fantasy,James Wong,45.0,5.9,32263.0
The Final Destination,66477700,185777700,10148305.0,40000000.0,28-Aug-09,R,NA,Warner Bros.,Original Screenplay,Horror,Fantasy,David R. Ellis,27.0,4.9,20319.0
FearDotCom,13208023,13208023,NA,40000000.0,30-Aug-02,R,NA,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,William Malone,NA,3.1,11438.0
Fear and Loathing in Las Vegas,10680275,13711903,NA,18500000.0,22-May-98,R,NA,Universal,Based on Book/Short Story,Comedy,Dramatization,Terry Gilliam,47.0,7.6,81560.0
Feast,56131,341808,3570398.0,3200000.0,22-Sep-06,R,NA,Weinstein/Dimension,Original Screenplay,Horror,Fantasy,NA,55.0,6.4,12023.0
The Fifth Element,63570862,263900000,NA,95000000.0,09-May-97,PG-13,105.0,Sony Pictures,Original Screenplay,Action,Science Fiction,Luc Besson,72.0,7.4,131252.0
Femme Fatale,6592103,6592103,NA,35000000.0,06-Nov-02,R,NA,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,48.0,6.3,16693.0
Bring it On,68353550,90453550,NA,10000000.0,25-Aug-00,PG-13,99.0,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peyton Reed,63.0,5.9,30309.0
Fantastic Four,154696080,330579719,4702358.0,87500000.0,08-Jul-05,PG-13,123.0,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,27.0,5.7,71675.0
54,16757163,16757163,NA,13000000.0,28-Aug-98,R,92.0,Miramax,Original Screenplay,Drama,Dramatization,NA,13.0,5.6,15023.0
2 Fast 2 Furious,127120058,236220058,NA,76000000.0,06-Jun-03,PG-13,107.0,Universal,Based on Magazine Article,Action,Contemporary Fiction,John Singleton,36.0,5.1,44151.0
The Fast and the Furious,144512310,206512310,NA,38000000.0,22-Jun-01,PG-13,107.0,Universal,Based on Magazine Article,Action,Contemporary Fiction,Rob Cohen,53.0,6.0,67939.0
Fool's Gold,70231041,109362966,20620930.0,72500000.0,08-Feb-08,PG-13,NA,Warner Bros.,Original Screenplay,Adventure,Contemporary Fiction,Andy Tennant,NA,7.6,93.0
Fahrenheit 9/11,119114517,222414517,NA,6000000.0,23-Jun-04,R,122.0,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,83.0,7.6,74424.0
Capitalism: A Love Story,14363397,14678228,2987505.0,20000000.0,23-Sep-09,R,NA,Overture Films,Based on Real Life Events,Documentary,Factual,Michael Moore,75.0,7.3,11829.0
From Hell,31598308,31598308,NA,35000000.0,19-Oct-01,R,123.0,20th Century Fox,Based on Comic/Graphic Novel,Thriller/Suspense,Historical Fiction,Albert Hughes,57.0,6.8,53477.0
Fido,298110,419801,NA,8000000.0,15-Jun-07,R,93.0,Lionsgate,Original Screenplay,Horror,Fantasy,NA,NA,6.9,11683.0
Fight Club,37030102,100853753,NA,65000000.0,15-Oct-99,R,139.0,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,David Fincher,81.0,8.8,382470.0
Final Fantasy: The Spirits Within,32131830,85131830,NA,137000000.0,11-Jul-01,PG-13,120.0,Sony Pictures,Based on Game,Adventure,Science Fiction,NA,NA,6.4,36227.0
Finding Forrester,51768623,80013623,NA,43000000.0,19-Dec-00,PG-13,137.0,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,74.0,7.2,35966.0
Freddy Got Fingered,14249005,14249005,NA,15000000.0,20-Apr-01,R,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,11.0,4.0,25033.0
Firestorm,8123860,8123860,NA,19000000.0,09-Jan-98,R,NA,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,NA,NA,4.4,2118.0
Fish Tank,374675,374675,NA,3000000.0,15-Jan-10,NA,NA,NA,NA,NA,NA,NA,NA,7.5,5940.0
Felicia's Journey,824295,1970268,NA,15000000.0,12-Nov-99,PG-13,NA,Artisan,Based on Book/Short Story,Drama,Contemporary Fiction,Atom Egoyan,88.0,6.9,4790.0
From Justin to Kelly,4922166,4922166,NA,12000000.0,20-Jun-03,PG,NA,20th Century Fox,Based on TV,Musical,Contemporary Fiction,NA,8.0,1.6,17596.0
Final Destination,53302314,112802314,NA,23000000.0,17-Mar-00,R,98.0,New Line,Original Screenplay,Horror,Fantasy,James Wong,31.0,6.8,52618.0
Flags of Our Fathers,33602376,61902376,45105366.0,53000000.0,20-Oct-06,R,NA,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,73.0,7.2,42788.0
Flawless,4485485,4485485,NA,27000000.0,24-Nov-99,R,NA,MGM,Original Screenplay,Drama,Contemporary Fiction,Joel Schumacher,43.0,6.7,8125.0
Flammen og Citronen,148089,1635241,NA,9000000.0,31-Jul-09,NA,132.0,IFC Films,NA,Thriller/Suspense,Historical Fiction,NA,NA,7.2,4182.0
Flicka,21000147,21893591,49974754.0,15000000.0,20-Oct-06,PG,94.0,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,NA,54.0,5.7,2832.0
Flight of the Phoenix,21009180,34009180,NA,75000000.0,17-Dec-04,PG-13,NA,20th Century Fox,Remake,Adventure,Historical Fiction,NA,30.0,6.0,18568.0
United 93,31567134,76366864,17832230.0,18000000.0,28-Apr-06,R,NA,Universal,Based on Real Life Events,Drama,Dramatization,Paul Greengrass,91.0,7.8,46691.0
Flubber,92993801,177993801,NA,80000000.0,26-Nov-97,PG,93.0,Walt Disney Pictures,Remake,Comedy,Kids Fiction,Les Mayfield,17.0,4.6,18890.0
